식물 이름,사진,학명,설명,물주기,빛,습도,잘 자라는 온도,"겨울철 관리 온도
",특징 색상,식물 유형,가시 유무,잎 모양1,잎 모양2,잎 모양3,잎 모양4,식물경험,"반려식물
안전성",유통 크기,난이도,유통가격,,,,,,,
금청각,그림,Pilosocereus pachycladus,금청각은 정열의 나라 남미 브라질 아타카마 사막에서 온 식물이에요. 파란 횃불 선인장으로 불리는 금청각은 브라질에서는 10m 이상 자라나는 큰 식물이며 가시와 흰 털을 지니고 있어요. 사막 환경에서 자라는 금청각은 더위와 건조에도 강해요. 오래 키운 금청각 일 수록 은백색이 진해진답니다,"한 달 1회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요.",양지,40% 이하,16~30℃,0℃ 이상,은빛이 도는 녹색 기둥에 흰털,다육/선인장,O,,,,,,,"소, 중형",중,"소: 6천원~1만원
중: 1만원~3만원",,,,,,,
석송,그림,Lycopodium clavatum,꽃이 피지 않는 석송은 소나무 처럼 사계절 내내 푸른 잎을 가지며 곧게 뻗어있는 외형이 특징이에요. 한 개의 가지에서 여러갈래로 갈라진답니다. 깊은 숲속에 자생하며 제주도에서 쉽게 볼 수 있는 식물인 석송은 습한 환경을 좋아하는 친구에요. 나무에서 착생하며 살아가는 품종도 있어요. 행잉화분에 심어 공중에 걸어 연출하면 좋아요.,"주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요.",반음지,70%이상,15~28℃,0℃ 이상,녹색,잎을 감상하는,,바늘모양,길쭉한,갈라진,잎 끝이 뾰족한,,,소형,중,4만원~6만원,,,,,,,
무늬 푸미라,그림,Ficus pumila variegata,"무늬 푸미라는 앙증맞은 얇은 잎이 아름다운 덩굴성 식물이예요. 물을 좋아해서 흙을 촉촉하게 유지해주면 초보가드너도 쉽게 키울 수 있는 식물입니다. 무늬 푸미라는 은은한 간접광이 드는 실내에서도 잘 자라지만, 빛이 부족하면 성장이 느려지고 잎을 떨굴 수 있어요. 성장속도가 빠른 편이기 때문에 1년에 한 번은 분갈이가 필요한 식물이랍니다.","평균 주 2회 이상
흙이 촉촉한 상태를 유지하는 것이 좋아요",반음지,40~70%,21~25℃,0~10ºC,녹색잎에 하얀 무늬,잎을 감상하는,,둥근모양,길쭉한,무늬가 있는,잎이 빳빳한,초보자,,소형,하,5천원~1만2천원,,,,,,,
레몬밤,그림,Melissa officinalis,"허브의 일종인 레몬밤은 '멜리사'라고 불리 꿀풀과 식물이랍니다. 잎에서 레몬과 민트가 섞인 듯한 향이 나며 키가 작은편이에요. 관상용 및 약용으로도 인기가 많고 주로 조미료와 허브 티, 화장품에 많이 들어가요. 요리에 쓰이는 레몬밤은 항균, 항바이러스에 좋아서 잎을 뜯어 벌레나 모기에 물린 곳을 문지르면 통증을 완화해준답니다. 남부 지방에서는 야외에서 월동도 가능해요.","주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요.",반음지,40~70%,16~20℃,-20℃,밝은 녹색,잎을 감상하는,,둥근모양,길쭉한,잎 끝이 뾰족한,잎이 빳빳한,,,소형,하,3천원~1만원,,,,,,,
엽란,그림,Aspidistra elatior,"엽란은 'Cast Iron Plant' 이라는 영어 이름에 알맞게 단단하고 억세답니다. 곧고 넓은 잎을 가지고 있으며 4~5월에 100원 크기의 붉은 꽃을 피우는데 줄기에서 나오지 않고 땅 위에서 나와요. 화분용으로도 많이 키우지만 꽃장식용으로 잘라서 많이 사용해요. 뿌리줄기는 혈액순환과 생리불순, 두통,치통에 약재로도 사용되요.","주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반음지,40~70%,12~20℃,0℃ 이상,녹색,잎을 감상하는,,길쭉한,잎 끝이 뾰족한,잎이 두꺼운,잎이 빳빳한,,,중형,중,1만원~1만5천원,,,,,,,
왜성 바나나,그림,Musa cavendish,한 여름 시원함을 전해주는 바나나나무는 밝혀진 종류로는 40가지 정도가 있어요. 파초와 비슷한 잎을 가지고 있어 혼동하기도 해요. 햇빛을 좋아하는 왜성바나나는 직사광선에도 괜찮고 실내의 경우 햇빛이 가장 잘 드는 곳이 좋아요. 바나나 잎은 종이처럼 얇아서 쉽게 찢어 질 수 있으니 각별히 신경써주세요. 바나나는 병충해가 생기기도 쉬우니 주기적으로 관찰해주세요. 바나나는 열대지방이나 큰 온실이 아닌 이상 꽃을 피우고 열매를 맺기 어려워요. 시원한 열대 분위기를 내주어서 카페나 플랜테리어에 사용하면 좋아요.,"주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요.",반양지,70%이상,15~30℃,10℃ 이상,녹색,잎을 감상하는,,길쭉한,잎 끝이 뾰족한,잎이 두꺼운,잎이 빳빳한,,,"중, 대형",상,-,,,,,,,
보라 사랑초,그림,Oxalis triangularis subsp. papilionacea,"괭이밥과 식물, 자주 사랑초는 하트모양의 보라색 잎을 가졌어요. 연분홍색의 사랑스러운 꽃을 피어내 많은 사람들에게 사랑받는 식물이에요. 생명력이 강한 자주 사랑초는 따듯하고 햇빛이 잘 드는 환경에서 잘 자라요. 추운 겨울에는 구근상태로 휴면기를 지내고, 따뜻한 봄이 오면 다시 잎이 나와요. 햇빛에 민감하게 반응하는 보라 사랑초는 낮에는 햇빛을 보기 위해 잎을 활짝 열지만 밤의 경우 잎끼리 모여 서로 닫아버려요. 낮에도 잎이 닫혀 있다면 물주기가 필요한 시점이에요.","주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요.",반양지,40~70%,16~20℃ ,10℃ 이상,보라색,잎을 감상하는,,하트모양,무늬가 있는,잎이 두꺼운,,,,소형,중,3천원~1만원,,,,,,,
러브체인,그림,Ceropegia woodii,"대리석 무늬를 가진 하트 잎과 보라색의 줄기가 매력적인 덩굴식물인 러브체인은 통통한 알뿌리를 가지고 있어 건조에 강한 편입니다. 물을 자주 주지 않아도 되고, 잎 주변에 바람이 잘 통하게 신경써준다면 초보 식집사도 쉽게 키울 수 있는 식물이에요. 러브체인은 치렁치렁하게 늘어져 자라는 습성이 있어 줄기를 가끔씩 잘라서 손질해주면 좋아요. 손질한 줄기를 물꽂이 하거나 흙에 올려만 두어도 뿌리를 잘 내려 번식시키는 재미도 있답니다. 햇빛이 잘 드는 베란다, 거실 창 쪽에서 행잉 플랜트로 공간을 활용하면 색다른 분위기를 연출 할 수 있어요.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반양지,40~70%,16~26℃ ,10℃ 이상,"녹색잎에 하얀무늬, 보라색 줄기",잎을 감상하는,,하트모양,무늬가 있는,잎이 두꺼운,잎이 빳빳한,초보자,,소형,하,8천원~2만원,,,,,,,
드나세나 드라코(용혈수),그림,Dracaena draco,드라코는 백합과 식물로 아프리카에서 온 식물이에요. 잎의 모양이 길고 시원하게 위로 뻗어 있어 드라세나 마지나타와 닮았어요. 아프리카에서는 용의 나무로 불리고 20m까지 키가 자라라요. 우리나라에서는 실내에서 키우다 보니 1~2m까지 밖에 못자라요. 수천년 자라는 식물이라 생육이 매우 느린 편이에요. 크기가 크고 시원시원한 잎이 매력적이어서 카페나 고급 레스토랑에서 많이 볼 수 있는 식물이에요.,"2주 1회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요.",양지,40~70%,18~25℃, 5℃ 이상,녹색,잎을 감상하는,,길쭉한,잎 끝이 뾰족한,잎이 두꺼운,잎이 빳빳한,,,중형,중,3만5천원~7만원,,,,,,,
아가베 아테누아타,그림,Agave attenuata,"아가베는 꽃이 용의 혀를 닮았다고 하여 용설란이라고도 부른답니다. 알려진 품종만 136개 정도로 종류가 많은 식물이에요. 곧게 뻗은 줄기와 날카로운 잎이 이국적이면서 부드러운 인상을 주고 작은 나무의 모습을 하고 있어서 인기가 많은 식물이에요. 아가베는 데낄라를 만들 때 사용하기도 해요. 하지만 아테누아타 품종이 아닌 아가베 아즐 데킬라, 아트로비렌스, 아메리카나 세 가지 품종만 사용 가능해요. 아가베 아테누아타는 관상용으로 실내 인테리어나 공간을 꾸밀 때 키포인트가 되는 식물이랍니다. 카페와 백화점 등 실내 인테리어로 많이 사용해요.","3주 1회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요.",양지,40~70%,10~18℃ , -2℃  이상,흰가루가 묻은 녹색,잎을 감상하는,,길쭉한,잎 끝이 뾰족한,잎이 두꺼운,잎이 빳빳한,,,"소, 중형",중,"소: 2만원~3만5천원
중: 3만원~7만원",,,,,,,
틸란시아 세로그라피카,그림,Tillandsia xerographica,"흙 없이 키우는 공중식물 틸란시아 세로그라피카는 세계 멸정 위기 보호식물로 지정받은 식물이에요. 40cm 이상까지 자라고 수명이 20년이 넘는답니다. 납작한 잎에 스프링처럼 고불고불 말려있고 독특한 생김새, 우아한 은백색 색감을 가지고 있어서 해외에서는 틸란드시아 퀸 이라고도 불려요. 스툴이나 식물 스탠드에 올려두면 은은한 분위기를 연출할수 있어요.","주 1~2회
분무를 해주거나, 30분정도 물에 담가주세요.",양지,40~70%,16~25℃,10℃ 이상,은빛이 도는 녹색,잎을 감상하는,,길쭉한,잎 끝이 뾰족한,잎이 두꺼운,잎이 빳빳한,,,소형,중,4만5천원~6만원,,,,,,,
틸란드시아 푼키아나,그림,Tillandsia funckiana,"베네수엘라에서 온 파인애플과 식물, 흙 없이 키우는 틸란시아 푼키아나는 소나무의 잎과 닮아 있어요. 줄기의 끝이 빨갛게 물들며 붉은 꽃을 피워요. 다른 틸란드시아에 비해 길쭉한 모습을 하고 있답니다. 낮에는 미세먼지를 흡수하고 밤에는 산소를 내뿜어 공기정화에 탁월한 효과가 있는 식물이에요. 큰 공간을 차지 하지 않아 좋고 은은한 분위기를 연출할 수 있어요.","주 1~2회
분무를 해주거나, 30분정도 물에 담가주세요",양지,40~70%,16~25℃,10℃ 이상,은빛이 도는 녹색,잎을 감상하는,,바늘모양,길쭉한,잎 끝이 뾰족한,잎이 빳빳한,,,소형,중,2천원~1만5천원,,,,,,,
립살리스 트리고나,그림,Rhipsalis trigona,"립살리스 트리고나는 잎 단면이 세모 모양인 특이한 식물이에요. 삐죽삐죽 세모모양의 기둥이 아래로 흘러 내리면서 자라는 모습이 특이해 많은 사랑을 받고 있어요. 립살리스는 물을 자주 주지 않아도 되고 키우기 까다롭지 않은 순둥이 식물이랍니다. 독성이 없어 반려동물이 있는 집에서도 안심하고 키울 수 있어요. 립살리스는 이리저리 휘어지는 유연한 줄기를 가져서 '갈대 선인장', 흙이 아닌 바위, 나무 등에 붙어서 자랄 수 있기 때문에 '착생 선인장'으로도 불린답니다.","평균 월 1~2회
통통한 몸통이 살짝 쭈글해지면 듬뿍 주세요",반양지,40~70%,15~25℃,10℃ 이상,녹색,다육/선인장,X,길쭉한,잎이 두꺼운,,,초보자,안전,소형,하,1만5천원~2만5천원,,,,,,,
용신목,그림,Myrtillocactus geometrizans,"멕시코에서 온 용신목은 두 팔을 높게 들어올린 것처럼 보여 '만세 선인장, 양팔 선인장' 이라는 별명을 가지고 있어요. 아름다운 청록색의 통통한 몸통과 귀여운 생김새로 인테리어 식물로 꾸준한 인기를 누리고 있는 식물이랍니다. 용신목은 현지에서 4~5m 까지도 자란다고 해요. 용신목은 강렬한 햇빛을 사랑하는 식물이에요. 강렬한 빛이 드는 따뜻한 곳에서 주변 공기를 건조하게 해주면 초보 식집사도 쉽게 키울 수 있답니다. 용신목을 곧게 키우고 싶다면 화분을 주기적으로 돌려서 골고루 빛을 받을 수 있도록 해주세요.","평균 월 1회 이하
단단한 몸통이 말랑해지면 듬뿍 주세요",양지,40% 이하,15~30℃,0~10ºC,녹색,다육/선인장,O,,,,,초보자,,소형,하,3천원~2만원,,,,,,,
비화옥,그림,Gymnocalycium baldianum,아르헨티나에서 온 선인장과 비화옥은 길이가 작고 낮은 원형의 식물이에요. 키우기가 쉽고 손이 많이 안가서 바쁜 현대인들이 많이 키우기 좋답니다 :) 2~7월에 적색 계열의 꽃과 흰꽃을 피워요. 선인장은 밤에 실내의 이산화탄소를 제거 하고 산소를 많이 뿜는 성격이 있어요. 햇빛이 잘들고 바람이 잘 부는 곳이 좋아요,"한 달 1회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요.",양지,40% 이하,15~30℃ ,0~10ºC,녹색,다육/선인장,O,,,,,초보자,,소형,하,3천원~1만5천원,,,,,,,
사계귤(유주나무),그림,Fortunella japonica var. margarita,"유주나무라 불려지는 사계귤은 광택이 나는 잎을 가진 과실수에요. 사계절 흰 꽃이 계속 피고지며 열매를 맺는다고 해서 붙여진 이름이랍니다. 소박한 하얀 꽃에서 풍기는 상큼한 꽃향기가 매력적인 사계귤은 초여름부터 꽃이 피고, 꽃이 진 자리에서 열매가 맺혀요. 진녹색의 열매는 주황색으로 익어가요. 새콤한 맛이 강해 바로 먹기보다는 잼, 청 등으로 만들어 먹으면 향긋한 향이나 별미라고 해요. 열매가 너무 많이 달리면 무게 때문에 가지가 쳐지고 양분소모가 열매에만 집중되어 잎이 시들 수 있으니 어느정도 익은 열매는 따주세요.","주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요.",양지,40~70%,18~23℃,-2℃ 이상,"녹색잎, 노란열매",열매를 감상하는,,둥근모양,길쭉한,잎 끝이 뾰족한,잎이 두꺼운,,,중형,중,3만원~5만원,,,,,,,
페퍼민트,그림,Mentha × piperita,"꿀풀과 식물 허브, 페퍼민트는 워터 민트와 스피아 민트 사이에서 자연적으로 태어난 종이에요. 줄기의 모양은 사각이에요. 상쾌한 향이 나고 식용 및 아로마 테라피용으로 가장 인기가 있어요. 차로도 마시며 요리에도 쓰이는 페퍼민트는 두통 완화와 소화에 좋은 효능을 가졌어요.","주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요.",반음지,40~70%,16~22℃ ,월동가능,밝은 녹색,잎을 감상하는,,길쭉한,잎 끝이 뾰족한,잎이 두꺼운,잎이 빳빳한,,,소형,하,2천원~5천원,,,,,,,
라벤더,그림,Lavendula angustifolia,허브의 일종인 라벤더는 꿀풀과 식물로 향긋한 향이 나는 식물이에요. 라벤더는 지중해가 원산지여서 햇빛이 잘 들고 바람이 잘 통하는 곳을 좋아해요. 향수와 아로마 테라피에서 사용되며 심리 안정과 불면증을 낫게하는데 도움을 줘요.,"주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요.",양지,40% 이하,15~23℃,-12℃ 이상,"은빛이 도는 녹색, 보라색 꽃",꽃을 감상하는,,길쭉한,잎 끝이 뾰족한,잎이 두꺼운,잎이 빳빳한,,,"소, 중형",중,"소: 3천원~5천원
중: 1만원~1만5천원",,,,,,,
유카,그림,Yucca recurvifolia,"유카는 아가베 아테누아타와 같은 과의 식물이에요. 생김새는 날카로운 잎이 이국적이고 잎이 곧게 뻗어 있어요. 잎의 가장자리에 흰 실이 있는 유카를 '실유카' 라고 부르고 실 없는 유카를 '유카'로 불러요. 유카의 경우 허브의 한 종류로 미용, 화장품에 추출물로 사용되고 과거의 실유카의 경우 실을 뜯어내어 천을 만드는 섬유로 사용하기도했어요. 유카는 햇빛을 좋아해서 제주도와 같이 따듯한 지역에서는 야외에서도 자랄 수 있어요.","2주 1회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요.",양지,40% 이하,21~25℃,-4℃ 이상,녹색,잎을 감상하는,,길쭉한,무늬가 있는,잎 끝이 뾰족한,잎이 빳빳한,,,중형,중,2만원~5만원,,,,,,,
극락조화,그림,Strelitzia reginae,길고 시원하게 뻗은 줄기와 넓은 잎이 특징인 극락조는 주황색 꽃이 극락조를 닮아 극락조화라고 불리는 식물이에요. 극락조와 비슷한 식물로는 여인초가 있답니다. 두 식물은 구분하기 어려워 사람들이 많이 헷갈려 하는 식물이에요. 극락조는 주황색의 꽃이 피고 여인초는 흰색 꽃이 피는 차이점이 있어요. 또한 6~7년 이상 성장한 극락조는 크기가 여인초에 비해 작아요. 극락조의 꽃은 색감이 화려해 꽃다발이나 공간을 장식 할 때 사용되요. 카페와 레스토랑에서 인테리어용으로도 많이 키우며 공간에 우아한 매력을 더해주는 식물이에요.,"주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요.",반양지,40~70%, 15~25℃,10℃ 이상,"녹색잎, 흰색꽃",잎을 감상하는,,둥근모양,길쭉한,잎 끝이 뾰족한,잎이 두꺼운,,,"중,대형",중,"중: 1만5천원~3만5천원
대: 5만원~8만원",,,,,,,
